ID,Gmina,Województwo,Powiat,Typ gminy,Powierzchnia ha,Powierzchnia km^2,Ludność,Ludność na km^2,Pożary SUMA,Małe pożary,Średnie pożary,Duże pożary,Bardzo duże pożary,Zagrożenia SUMA,Małe zagrożenia,Lokalne zagrożenia,Średnie zagrożenia,Duże zagrożenia,Gigantyczne/klęski żywiołowe,Fałszywe alarmy SUMA,Złośliwe alarmy,W dobrej wierze,Z urządzeń,Do 30 min.,31-60 min.,61-120 min.,121-240 min.,241-720 min.,do 1 dnia,powyżej 1 dnia,Ofiary śmiertelne SUMA,Ranni SUMA,Ofiary śmiertelne (ratownicy) [pożary],Ranni ratownicy [pożary],Ofiary śmiertelne strażacy [pożary],Ranni strażacy [pożary],Ofiary śmiertelne (inne osoby) [pożary],Ranni (inne osoby) [pożary],Ofiary śmiertelne (dzieci) [pożary],Ranni (dzieci) [pożary],Ofiary śmiertelne (ratownicy) [zagrożenia],Ranni ratownicy [zagrożenia],Ofiary śmiertelne strażacy [zagrożenia],Ranni strażacy [zagrożenia],Ofiary śmiertelne (inne osoby) [zagrożenia],Ranni (inne osoby) [zagrożenia],Ofiary śmiertelne (dzieci) [zagrożenia],Ranni (dzieci) [zagrożenia],Silne wiatry,Przybory wód,Opady śniegu,Opady deszczu,Chemiczne,Ekologiczne,Radiologiczne,Budowlane,Infrastruktury komunalnej,W transporcie drogowym,W transporcie kolejowym,W transporcie lotniczym,Na obszarach wodnych,Medyczne
15,Niemcza,dolnośląskie,dzierżoniowski,miejsko-wiejska,7186,72,5545,77,44,41,3,0,0,43,4,33,6,0,0,10,2,6,2,3,33,34,13,4,0,0,3,23,0,0,0,0,0,1,0,0,0,0,0,0,3,22,0,1,6,0,1,2,2,0,0,0,1,18,0,0,1,14
16,Pieszyce,dolnośląskie,dzierżoniowski,miejsko-wiejska,6361,64,9550,150,59,55,4,0,0,44,5,39,0,0,0,7,0,7,0,14,43,37,8,1,0,0,0,16,0,1,0,1,0,0,0,0,0,0,0,0,0,15,0,2,8,0,0,1,3,0,0,0,0,7,0,0,0,9
17,Piława Górna,dolnośląskie,dzierżoniowski,miejska,2093,21,6479,310,26,25,1,0,0,27,6,21,0,0,0,3,0,3,0,7,23,16,6,0,1,0,1,7,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,5,0,0,0,2,0,0,0,1,2,0,0,0,5
19,Głogów (gmina wiejska),dolnośląskie,głogowski,wiejska,3511,35,68179,1942,53,49,3,1,0,31,2,28,1,0,0,6,0,5,1,264,151,43,20,11,1,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,3,4,1,0,0,0,0,0,1,0,14,0,0,1,0
20,Głogów (gmina miejska),dolnośląskie,głogowski,miejska,8479,85,6663,79,228,221,7,0,0,262,40,215,7,0,0,59,0,53,6,12,33,29,6,3,1,0,8,58,0,0,0,0,0,2,0,0,0,0,0,0,8,56,0,6,28,0,1,5,6,2,0,0,1,61,1,0,6,8
21,Jerzmanowa,dolnośląskie,głogowski,wiejska,6332,63,4925,78,22,21,1,0,0,33,2,30,1,0,0,3,0,3,0,6,24,16,6,3,0,0,2,19,0,0,0,0,0,0,0,0,0,0,0,0,2,19,0,1,0,0,0,0,1,0,0,0,1,20,0,0,2,3
22,Kotla,dolnośląskie,głogowski,wiejska,12752,128,4415,35,38,33,3,2,0,26,0,26,0,0,0,4,0,4,0,4,21,30,3,5,1,0,1,12,0,0,0,0,0,0,0,0,0,0,0,0,1,12,0,0,6,0,0,0,0,0,0,0,0,11,0,0,0,5
23,Pęcław,dolnośląskie,głogowski,wiejska,6427,64,2284,36,26,20,6,0,0,8,1,7,0,0,0,2,0,2,0,2,9,9,7,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Żukowice,dolnośląskie,głogowski,wiejska,6826,68,3467,51,29,27,1,1,0,33,5,27,1,0,0,3,0,3,0,13,32,9,6,1,1,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,23,0,0,8,0,0,2,1,0,0,1,1,18,0,0,0,5
26,Góra,dolnośląskie,górowski,miejsko-wiejska,26611,266,20177,76,128,122,6,0,0,168,35,132,1,0,0,8,0,8,0,61,136,74,19,5,1,0,2,54,0,0,0,0,0,2,0,0,0,0,0,0,2,52,0,3,18,0,0,0,2,0,0,1,2,47,0,0,2,23
27,Jemielno,dolnośląskie,górowski,wiejska,12402,124,3051,25,19,15,4,0,0,24,5,19,0,0,0,2,0,2,0,3,9,20,6,5,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,6,0,0,0,0,0,0,0,0,5,0,0,1,3
28,Niechlów,dolnośląskie,górowski,wiejska,15103,151,4985,33,29,23,6,0,0,33,6,26,1,0,0,1,0,1,0,0,18,32,9,3,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,0,0,7,0,0,2,3
29,Wąsosz,dolnośląskie,górowski,miejsko-wiejska,19711,197,7260,37,60,51,8,1,0,65,9,52,4,0,0,3,2,1,0,6,22,62,28,7,0,0,1,16,0,1,0,0,0,2,0,0,0,0,0,0,1,13,0,2,24,0,0,0,0,0,0,6,0,13,0,0,2,7
