"KG PSP Warszawa
ul. Podchor¹¿ych 38
00-463 Warszawa
";;;;;;;;;;;;;;;;;Warszawa, dn. 23-01-2019r.
;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;
"1_2. Zdarzenia wg rodzaju i wielkoœci w rozbiciu na województwo, powiat i gminê
";;;;;;;;;;;;;;;;;
;;Po¿ar (P);;;;;Miejscowe zagro¿enie (MZ);;;;;;Alarm fa³szywy (AF);;;;OGÓ£EM
LP.;Podzia³ administracyjny;RAZEM;Ma³y (P/M);Œredni (P/Œ);Du¿y (P/D);Bardzo du¿y (P/BD);RAZEM;Ma³e (MZ/M);Lokalne (MZ/L);Œrednie (MZ/Œ);Du¿e (MZ/D);Gigantyczne lub klêska ¿ywio³owa (MZ/K);RAZEM;Z³oœliwy (A/Z);W dobrej wierze (A/DW);Z instalacji wykrywania (A/IW); 
55;Bystrzyca K³odzka;141;136;5;0;0;269;53;206;10;0;0;21;2;16;3;431
56;Duszniki-Zdrój;31;31;0;0;0;88;24;60;4;0;0;21;0;4;17;140
57;K³odzko (gmina miejska);136;135;1;0;0;263;55;200;8;0;0;41;0;32;9;440
58;K³odzko (gmina wiejska);229;216;13;0;0;196;30;155;11;0;0;26;1;19;6;451
59;Kudowa-Zdrój;67;63;4;0;0;113;14;96;3;0;0;17;0;9;8;197
60;L¹dek-Zdrój;53;52;1;0;0;114;18;89;7;0;0;13;2;7;4;180
61;Lewin K³odzki;33;31;2;0;0;65;12;53;0;0;0;4;0;4;0;102
62;Miêdzylesie;72;70;1;1;0;122;13;106;3;0;0;3;0;1;2;197
63;Nowa Ruda (gmina miejska);150;146;4;0;0;202;50;145;7;0;0;32;1;30;1;384
64;Nowa Ruda (gmina wiejska);116;107;8;1;0;97;17;80;0;0;0;9;0;9;0;222
65;Polanica-Zdrój;56;55;1;0;0;81;16;62;3;0;0;23;0;6;17;160
66;Radków;104;97;7;0;0;115;16;97;2;0;0;15;0;11;4;234
67;Stronie Œl¹skie;45;41;4;0;0;75;17;55;3;0;0;11;0;2;9;131
68;Szczytna;79;75;4;0;0;97;25;66;6;0;0;11;0;3;8;187
69;Legnica;775;751;23;1;0;605;191;398;16;0;0;189;15;90;84;1569
70;Legnica;775;751;23;1;0;605;191;398;16;0;0;189;15;90;84;1569
71;legnicki;580;541;36;3;0;498;102;381;15;0;0;69;3;48;18;1147
72;Chojnów (gmina wiejska);108;97;11;0;0;114;15;96;3;0;0;13;0;11;2;235
73;Chojnów (gmina miejska);76;76;0;0;0;121;22;97;2;0;0;13;0;13;0;210
