ID,Powiat,Województwo,Powierzchnia ha,Powierzchnia km^2,Ludność,Ludność na km^2,Pożary SUMA,Małe pożary,Średnie pożary,Duże pożary,Bardzo duże pożary,Zagrożenia SUMA,Małe zagrożenia,Lokalne zagrożenia,Średnie zagrożenia,Duże zagrożenia,Gigantyczne/klęski żywiołowe,Fałszywe alarmy SUMA,Złośliwe alarmy,W dobrej wierze,Z urządzeń,Do 30 min.,31-60 min.,61-120 min.,121-240 min.,241-720 min.,do 1 dnia,powyżej 1 dnia,Ofiary śmiertelne SUMA,Ranni SUMA,Ofiary śmiertelne (ratownicy) [pożary],Ranni ratownicy [pożary],Ofiary śmiertelne strażacy [pożary],Ranni strażacy [pożary],Ofiary śmiertelne (inne osoby) [pożary],Ranni (inne osoby) [pożary],Ofiary śmiertelne (dzieci) [pożary],Ranni (dzieci) [pożary],Ofiary śmiertelne (ratownicy) [zagrożenia],Ranni ratownicy [zagrożenia],Ofiary śmiertelne strażacy [zagrożenia],Ranni strażacy [zagrożenia],Ofiary śmiertelne (inne osoby) [zagrożenia],Ranni (inne osoby) [zagrożenia],Ofiary śmiertelne (dzieci) [zagrożenia],Ranni (dzieci) [zagrożenia],Silne wiatry,Przybory wód,Opady śniegu,Opady deszczu,Chemiczne,Ekologiczne,Radiologiczne,Budowlane,Infrastruktury komunalnej,W transporcie drogowym,W transporcie kolejowym,W transporcie lotniczym,Na obszarach wodnych,Medyczne
2649,Poznan,wielkopolskie,26191,262,538633,2057,1507,1490,12,4,1,2736,614,2027,93,2,0,972,14,339,619,1077,1852,1023,215,63,12,1,89,700,0,6,0,4,5,41,0,4,0,2,0,2,84,651,0,35,186,2,7,34,85,2,0,70,57,711,3,0,40,461
2651,poznanski,wielkopolskie,189988,1900,381630,201,1043,986,49,6,2,2720,332,2265,123,0,0,470,1,234,235,470,1473,1328,402,84,5,1,52,656,0,7,0,4,2,16,0,3,0,2,0,1,50,631,1,53,273,11,10,73,60,3,0,19,55,695,11,0,30,399
1054,proszowicki,małopolskie,41487,415,43658,105,148,134,14,0,0,415,26,381,8,0,0,25,0,17,8,59,211,211,59,23,0,0,3,105,0,0,0,0,0,2,0,0,0,1,0,1,3,102,0,14,99,0,3,61,64,0,0,17,8,117,0,0,2,54
1541,prudnicki,opolskie,57155,572,55748,98,240,230,7,3,0,467,36,428,3,0,0,25,1,24,0,158,274,195,61,17,2,0,8,117,0,2,0,2,0,7,0,0,0,0,0,0,8,108,0,9,77,2,3,29,25,0,0,2,1,78,0,0,4,62
1314,pruszkowski,mazowieckie,24630,246,162922,661,507,499,7,0,1,1107,184,922,1,0,0,193,4,169,20,315,702,456,117,24,0,0,9,211,0,0,0,0,0,10,0,1,0,1,0,1,9,200,0,20,88,0,0,10,25,4,0,12,17,450,4,0,12,141
1321,przasnyski,mazowieckie,121862,1219,52884,43,170,162,8,0,0,605,32,567,6,0,0,26,1,22,3,198,290,205,63,19,0,0,10,116,0,3,0,0,1,8,0,1,0,0,0,0,9,105,0,8,137,4,6,8,14,1,0,16,17,103,0,1,6,50
1665,przemyski,podkarpackie,121122,1211,74440,61,219,207,11,1,0,639,79,554,5,1,0,23,1,16,6,58,306,307,146,37,3,1,13,169,0,0,0,0,0,7,0,1,0,0,0,0,13,162,0,19,45,1,37,15,6,0,0,6,7,112,0,0,7,32
1676,Przemysl,podkarpackie,4617,46,61808,1339,142,139,3,0,0,595,135,459,1,0,0,41,1,26,14,273,294,116,46,8,0,0,10,81,0,0,0,0,1,7,0,0,0,0,0,0,9,74,1,6,47,16,31,17,17,0,0,15,3,87,1,0,4,46
1678,przeworski,podkarpackie,69802,698,78644,113,160,150,10,0,0,533,38,487,8,0,0,5,1,3,1,67,218,260,119,28,1,0,12,124,0,0,0,0,0,6,0,0,0,1,0,1,12,117,1,14,80,4,6,42,5,0,0,10,28,143,1,0,7,66
1329,przysuski,mazowieckie,80119,801,42116,53,274,247,27,0,0,355,17,334,4,0,0,28,4,23,1,34,196,241,114,42,2,0,8,82,0,0,0,0,1,6,0,0,0,0,0,0,7,76,0,8,30,1,6,27,3,0,0,3,0,80,2,0,5,35
